mandal_name,city,datetime,year,day_of_festival,hour_of_day,is_weekend,is_special_day,weather,headcount
Andhericha Raja,Mumbai,2010-09-05 00:00:00,2010,1,0,1,1,Light Rain,23550
Andhericha Raja,Mumbai,2010-09-05 01:00:00,2010,1,1,1,1,Humid,11111
Andhericha Raja,Mumbai,2010-09-05 02:00:00,2010,1,2,1,1,Cloudy,4587
Andhericha Raja,Mumbai,2010-09-05 03:00:00,2010,1,3,1,1,Sunny,6307
Andhericha Raja,Mumbai,2010-09-05 04:00:00,2010,1,4,1,1,Heavy Rain,2175
Andhericha Raja,Mumbai,2010-09-05 05:00:00,2010,1,5,1,1,Humid,5668
Andhericha Raja,Mumbai,2010-09-05 06:00:00,2010,1,6,1,1,Sunny,19021
Andhericha Raja,Mumbai,2010-09-05 07:00:00,2010,1,7,1,1,Heavy Rain,9968
Andhericha Raja,Mumbai,2010-09-05 08:00:00,2010,1,8,1,1,Cloudy,27555
Andhericha Raja,Mumbai,2010-09-05 09:00:00,2010,1,9,1,1,Light Rain,19553
Andhericha Raja,Mumbai,2010-09-05 10:00:00,2010,1,10,1,1,Cloudy,28997
Andhericha Raja,Mumbai,2010-09-05 11:00:00,2010,1,11,1,1,Heavy Rain,15157
Andhericha Raja,Mumbai,2010-09-05 12:00:00,2010,1,12,1,1,Humid,26795
Andhericha Raja,Mumbai,2010-09-05 13:00:00,2010,1,13,1,1,Light Rain,25836
Andhericha Raja,Mumbai,2010-09-05 14:00:00,2010,1,14,1,1,Sunny,26885
Andhericha Raja,Mumbai,2010-09-05 15:00:00,2010,1,15,1,1,Cloudy,27011
Andhericha Raja,Mumbai,2010-09-05 16:00:00,2010,1,16,1,1,Cloudy,20127
Andhericha Raja,Mumbai,2010-09-05 17:00:00,2010,1,17,1,1,Light Rain,11198
Andhericha Raja,Mumbai,2010-09-05 18:00:00,2010,1,18,1,1,Cloudy,120425
Andhericha Raja,Mumbai,2010-09-05 19:00:00,2010,1,19,1,1,Cloudy,95402
Andhericha Raja,Mumbai,2010-09-05 20:00:00,2010,1,20,1,1,Cloudy,77238
Andhericha Raja,Mumbai,2010-09-05 21:00:00,2010,1,21,1,1,Cloudy,63281
Andhericha Raja,Mumbai,2010-09-05 22:00:00,2010,1,22,1,1,Humid,90904
Andhericha Raja,Mumbai,2010-09-05 23:00:00,2010,1,23,1,1,Humid,69904
Andhericha Raja,Mumbai,2010-09-06 00:00:00,2010,2,0,0,0,Cloudy,8431
Andhericha Raja,Mumbai,2010-09-06 01:00:00,2010,2,1,0,0,Light Rain,586
Andhericha Raja,Mumbai,2010-09-06 02:00:00,2010,2,2,0,0,Humid,1874
Andhericha Raja,Mumbai,2010-09-06 03:00:00,2010,2,3,0,0,Humid,1311
Andhericha Raja,Mumbai,2010-09-06 04:00:00,2010,2,4,0,0,Light Rain,1114
Andhericha Raja,Mumbai,2010-09-06 05:00:00,2010,2,5,0,0,Cloudy,2943
Andhericha Raja,Mumbai,2010-09-06 06:00:00,2010,2,6,0,0,Cloudy,7607
Andhericha Raja,Mumbai,2010-09-06 07:00:00,2010,2,7,0,0,Humid,4419
Andhericha Raja,Mumbai,2010-09-06 08:00:00,2010,2,8,0,0,Light Rain,5913
Andhericha Raja,Mumbai,2010-09-06 09:00:00,2010,2,9,0,0,Humid,8748
Andhericha Raja,Mumbai,2010-09-06 10:00:00,2010,2,10,0,0,Cloudy,5179
Andhericha Raja,Mumbai,2010-09-06 11:00:00,2010,2,11,0,0,Heavy Rain,2762
Andhericha Raja,Mumbai,2010-09-06 12:00:00,2010,2,12,0,0,Light Rain,4180
