mandal_name,city,datetime,year,day_of_festival,hour_of_day,is_weekend,is_special_day,weather,headcount
Dagdusheth Halwai Ganpati,Pune,2010-09-05 00:00:00,2010,1,0,1,1,Heavy Rain,28277
Dagdusheth Halwai Ganpati,Pune,2010-09-05 01:00:00,2010,1,1,1,1,Sunny,9799
Dagdusheth Halwai Ganpati,Pune,2010-09-05 02:00:00,2010,1,2,1,1,Heavy Rain,1249
Dagdusheth Halwai Ganpati,Pune,2010-09-05 03:00:00,2010,1,3,1,1,Heavy Rain,5094
Dagdusheth Halwai Ganpati,Pune,2010-09-05 04:00:00,2010,1,4,1,1,Light Rain,10422
Dagdusheth Halwai Ganpati,Pune,2010-09-05 05:00:00,2010,1,5,1,1,Sunny,19308
Dagdusheth Halwai Ganpati,Pune,2010-09-05 06:00:00,2010,1,6,1,1,Heavy Rain,17720
Dagdusheth Halwai Ganpati,Pune,2010-09-05 07:00:00,2010,1,7,1,1,Humid,51179
Dagdusheth Halwai Ganpati,Pune,2010-09-05 08:00:00,2010,1,8,1,1,Heavy Rain,27404
Dagdusheth Halwai Ganpati,Pune,2010-09-05 09:00:00,2010,1,9,1,1,Light Rain,30017
Dagdusheth Halwai Ganpati,Pune,2010-09-05 10:00:00,2010,1,10,1,1,Heavy Rain,15888
Dagdusheth Halwai Ganpati,Pune,2010-09-05 11:00:00,2010,1,11,1,1,Sunny,49884
Dagdusheth Halwai Ganpati,Pune,2010-09-05 12:00:00,2010,1,12,1,1,Heavy Rain,25361
Dagdusheth Halwai Ganpati,Pune,2010-09-05 13:00:00,2010,1,13,1,1,Heavy Rain,15995
Dagdusheth Halwai Ganpati,Pune,2010-09-05 14:00:00,2010,1,14,1,1,Light Rain,43459
Dagdusheth Halwai Ganpati,Pune,2010-09-05 15:00:00,2010,1,15,1,1,Humid,37869
Dagdusheth Halwai Ganpati,Pune,2010-09-05 16:00:00,2010,1,16,1,1,Heavy Rain,23705
Dagdusheth Halwai Ganpati,Pune,2010-09-05 17:00:00,2010,1,17,1,1,Light Rain,41934
Dagdusheth Halwai Ganpati,Pune,2010-09-05 18:00:00,2010,1,18,1,1,Light Rain,111758
Dagdusheth Halwai Ganpati,Pune,2010-09-05 19:00:00,2010,1,19,1,1,Sunny,190491
Dagdusheth Halwai Ganpati,Pune,2010-09-05 20:00:00,2010,1,20,1,1,Sunny,99520
