temple_name,city,year,month,day_of_month,time_slot,is_holiday,is_durga_puja_or_navratri,weather,headcount
Dakshineswar Kali,Kolkata,2010,10,1,0,0,1,Clear,47812
Dakshineswar Kali,Kolkata,2010,10,1,1,0,1,Clear,88619
Dakshineswar Kali,Kolkata,2010,10,1,2,0,1,Clear,33111
Dakshineswar Kali,Kolkata,2010,10,1,3,0,1,Clear,94321
Dakshineswar Kali,Kolkata,2010,10,1,4,0,1,Rain,60270
Dakshineswar Kali,Kolkata,2010,10,1,5,0,1,Clear,87422
Dakshineswar Kali,Kolkata,2010,10,1,6,0,1,Humid,64279
Dakshineswar Kali,Kolkata,2010,10,1,7,0,1,Rain,82619
Dakshineswar Kali,Kolkata,2010,10,1,8,0,1,Cloudy,58770
Dakshineswar Kali,Kolkata,2010,10,1,9,0,1,Clear,64717
Dakshineswar Kali,Kolkata,2010,10,1,10,0,1,Clear,57598
Dakshineswar Kali,Kolkata,2010,10,1,11,0,1,Humid,58763
Dakshineswar Kali,Kolkata,2010,10,1,12,0,1,Humid,59543
Dakshineswar Kali,Kolkata,2010,10,1,13,0,1,Cloudy,51099
Dakshineswar Kali,Kolkata,2010,10,1,14,0,1,Rain,68467
Dakshineswar Kali,Kolkata,2010,10,1,15,0,1,Humid,89005
Dakshineswar Kali,Kolkata,2010,10,1,16,0,1,Humid,65590
Dakshineswar Kali,Kolkata,2010,10,1,17,0,1,Rain,33273
Dakshineswar Kali,Kolkata,2010,10,1,18,0,1,Cloudy,153579
Dakshineswar Kali,Kolkata,2010,10,1,19,0,1,Cloudy,172697
Dakshineswar Kali,Kolkata,2010,10,1,20,0,1,Clear,239913
Dakshineswar Kali,Kolkata,2010,10,1,21,0,1,Humid,233357
Dakshineswar Kali,Kolkata,2010,10,1,22,0,1,Humid,117426
Dakshineswar Kali,Kolkata,2010,10,1,23,0,1,Cloudy,271503
Dakshineswar Kali,Kolkata,2010,10,2,0,1,1,Rain,22071
Dakshineswar Kali,Kolkata,2010,10,2,1,1,1,Rain,24311
Dakshineswar Kali,Kolkata,2010,10,2,2,1,1,Cloudy,23244
Dakshineswar Kali,Kolkata,2010,10,2,3,1,1,Cloudy,20670
Dakshineswar Kali,Kolkata,2010,10,2,4,1,1,Rain,21913
Dakshineswar Kali,Kolkata,2010,10,2,5,1,1,Clear,12434
