mandal_name,city,datetime,year,day_of_festival,hour_of_day,is_weekend,is_special_day,weather,headcount
Kasba Ganpati,Pune,2010-09-05 00:00:00,2010,1,0,1,1,Light Rain,11037
Kasba Ganpati,Pune,2010-09-05 01:00:00,2010,1,1,1,1,Heavy Rain,2706
Kasba Ganpati,Pune,2010-09-05 02:00:00,2010,1,2,1,1,Cloudy,9745
Kasba Ganpati,Pune,2010-09-05 03:00:00,2010,1,3,1,1,Cloudy,6494
Kasba Ganpati,Pune,2010-09-05 04:00:00,2010,1,4,1,1,Heavy Rain,2999
Kasba Ganpati,Pune,2010-09-05 05:00:00,2010,1,5,1,1,Light Rain,3941
Kasba Ganpati,Pune,2010-09-05 06:00:00,2010,1,6,1,1,Sunny,27613
Kasba Ganpati,Pune,2010-09-05 07:00:00,2010,1,7,1,1,Heavy Rain,13154
Kasba Ganpati,Pune,2010-09-05 08:00:00,2010,1,8,1,1,Light Rain,18220
Kasba Ganpati,Pune,2010-09-05 09:00:00,2010,1,9,1,1,Light Rain,17832
Kasba Ganpati,Pune,2010-09-05 10:00:00,2010,1,10,1,1,Light Rain,11072
Kasba Ganpati,Pune,2010-09-05 11:00:00,2010,1,11,1,1,Heavy Rain,9238
Kasba Ganpati,Pune,2010-09-05 12:00:00,2010,1,12,1,1,Humid,18528
Kasba Ganpati,Pune,2010-09-05 13:00:00,2010,1,13,1,1,Light Rain,16023
Kasba Ganpati,Pune,2010-09-05 14:00:00,2010,1,14,1,1,Light Rain,13389
Kasba Ganpati,Pune,2010-09-05 15:00:00,2010,1,15,1,1,Light Rain,12128
Kasba Ganpati,Pune,2010-09-05 16:00:00,2010,1,16,1,1,Humid,16065
Kasba Ganpati,Pune,2010-09-05 17:00:00,2010,1,17,1,1,Cloudy,19018
Kasba Ganpati,Pune,2010-09-05 18:00:00,2010,1,18,1,1,Sunny,90731
Kasba Ganpati,Pune,2010-09-05 19:00:00,2010,1,19,1,1,Cloudy,108499
Kasba Ganpati,Pune,2010-09-05 20:00:00,2010,1,20,1,1,Heavy Rain,18465
Kasba Ganpati,Pune,2010-09-05 21:00:00,2010,1,21,1,1,Humid,37765
Kasba Ganpati,Pune,2010-09-05 22:00:00,2010,1,22,1,1,Humid,55587
Kasba Ganpati,Pune,2010-09-05 23:00:00,2010,1,23,1,1,Sunny,73450
Kasba Ganpati,Pune,2010-09-06 00:00:00,2010,2,0,0,0,Heavy Rain,1397
Kasba Ganpati,Pune,2010-09-06 01:00:00,2010,2,1,0,0,Sunny,850
Kasba Ganpati,Pune,2010-09-06 02:00:00,2010,2,2,0,0,Sunny,1034
Kasba Ganpati,Pune,2010-09-06 03:00:00,2010,2,3,0,0,Sunny,1004
Kasba Ganpati,Pune,2010-09-06 04:00:00,2010,2,4,0,0,Light Rain,806
Kasba Ganpati,Pune,2010-09-06 05:00:00,2010,2,5,0,0,Humid,964
Kasba Ganpati,Pune,2010-09-06 06:00:00,2010,2,6,0,0,Cloudy,5789
Kasba Ganpati,Pune,2010-09-06 07:00:00,2010,2,7,0,0,Sunny,4927
Kasba Ganpati,Pune,2010-09-06 08:00:00,2010,2,8,0,0,Sunny,3963
Kasba Ganpati,Pune,2010-09-06 09:00:00,2010,2,9,0,0,Light Rain,3259
Kasba Ganpati,Pune,2010-09-06 10:00:00,2010,2,10,0,0,Humid,6795
Kasba Ganpati,Pune,2010-09-06 11:00:00,2010,2,11,0,0,Heavy Rain,2341
Kasba Ganpati,Pune,2010-09-06 12:00:00,2010,2,12,0,0,Light Rain,4841
Kasba Ganpati,Pune,2010-09-06 13:00:00,2010,2,13,0,0,Heavy Rain,2693
Kasba Ganpati,Pune,2010-09-06 14:00:00,2010,2,14,0,0,Sunny,3873
Kasba Ganpati,Pune,2010-09-06 15:00:00,2010,2,15,0,0,Heavy Rain,1864
Kasba Ganpati,Pune,2010-09-06 16:00:00,2010,2,16,0,0,Humid,3061
Kasba Ganpati,Pune,2010-09-06 17:00:00,2010,2,17,0,0,Sunny,5777
Kasba Ganpati,Pune,2010-09-06 18:00:00,2010,2,18,0,0,Light Rain,8578
Kasba Ganpati,Pune,2010-09-06 19:00:00,2010,2,19,0,0,Sunny,20047
Kasba Ganpati,Pune,2010-09-06 20:00:00,2010,2,20,0,0,Heavy Rain,7894
Kasba Ganpati,Pune,2010-09-06 21:00:00,2010,2,21,0,0,Light Rain,10823
Kasba Ganpati,Pune,2010-09-06 22:00:00,2010,2,22,0,0,Light Rain,9031
Kasba Ganpati,Pune,2010-09-06 23:00:00,2010,2,23,0,0,Sunny,14982
Kasba Ganpati,Pune,2010-09-07 00:00:00,2010,3,0,0,0,Light Rain,3592
Kasba Ganpati,Pune,2010-09-07 01:00:00,2010,3,1,0,0,Sunny,603
Kasba Ganpati,Pune,2010-09-07 02:00:00,2010,3,2,0,0,Light Rain,440
Kasba Ganpati,Pune,2010-09-07 03:00:00,2010,3,3,0,0,Sunny,2667
Kasba Ganpati,Pune,2010-09-07 04:00:00,2010,3,4,0,0,Heavy Rain,508
Kasba Ganpati,Pune,2010-09-07 05:00:00,2010,3,5,0,0,Light Rain,631
Kasba Ganpati,Pune,2010-09-07 06:00:00,2010,3,6,0,0,Sunny,5345
Kasba Ganpati,Pune,2010-09-07 07:00:00,2010,3,7,0,0,Heavy Rain,2644
Kasba Ganpati,Pune,2010-09-07 08:00:00,2010,3,8,0,0,Cloudy,4546
Kasba Ganpati,Pune,2010-09-07 09:00:00,2010,3,9,0,0,Heavy Rain,2542
Kasba Ganpati,Pune,2010-09-07 10:00:00,2010,3,10,0,0,Humid,6932
Kasba Ganpati,Pune,2010-09-07 11:00:00,2010,3,11,0,0,Humid,3581
Kasba Ganpati,Pune,2010-09-07 12:00:00,2010,3,12,0,0,Light Rain,4568
Kasba Ganpati,Pune,2010-09-07 13:00:00,2010,3,13,0,0,Heavy Rain,2522
Kasba Ganpati,Pune,2010-09-07 14:00:00,2010,3,14,0,0,Sunny,4371
Kasba Ganpati,Pune,2010-09-07 15:00:00,2010,3,15,0,0,Light Rain,4349
Kasba Ganpati,Pune,2010-09-07 16:00:00,2010,3,16,0,0,Humid,3332
Kasba Ganpati,Pune,2010-09-07 17:00:00,2010,3,17,0,0,Cloudy,3495
Kasba Ganpati,Pune,2010-09-07 18:00:00,2010,3,18,0,0,Sunny,11305
Kasba Ganpati,Pune,2010-09-07 19:00:00,2010,3,19,0,0,Humid,9542
Kasba Ganpati,Pune,2010-09-07 20:00:00,2010,3,20,0,0,Heavy Rain,3558
Kasba Ganpati,Pune,2010-09-07 21:00:00,2010,3,21,0,0,Cloudy,10236
Kasba Ganpati,Pune,2010-09-07 22:00:00,2010,3,22,0,0,Heavy Rain,7207
Kasba Ganpati,Pune,2010-09-07 23:00:00,2010,3,23,0,0,Sunny,23637
Kasba Ganpati,Pune,2010-09-08 00:00:00,2010,4,0,0,0,Cloudy,5840
Kasba Ganpati,Pune,2010-09-08 01:00:00,2010,4,1,0,0,Sunny,1668
Kasba Ganpati,Pune,2010-09-08 02:00:00,2010,4,2,0,0,Cloudy,831
Kasba Ganpati,Pune,2010-09-08 03:00:00,2010,4,3,0,0,Heavy Rain,966
Kasba Ganpati,Pune,2010-09-08 04:00:00,2010,4,4,0,0,Humid,2372
Kasba Ganpati,Pune,2010-09-08 05:00:00,2010,4,5,0,0,Heavy Rain,454
Kasba Ganpati,Pune,2010-09-08 06:00:00,2010,4,6,0,0,Cloudy,5194
Kasba Ganpati,Pune,2010-09-08 07:00:00,2010,4,7,0,0,Light Rain,3545
Kasba Ganpati,Pune,2010-09-08 08:00:00,2010,4,8,0,0,Light Rain,2161
Kasba Ganpati,Pune,2010-09-08 09:00:00,2010,4,9,0,0,Heavy Rain,1222
Kasba Ganpati,Pune,2010-09-08 10:00:00,2010,4,10,0,0,Cloudy,4045
Kasba Ganpati,Pune,2010-09-08 11:00:00,2010,4,11,0,0,Sunny,5576
Kasba Ganpati,Pune,2010-09-08 12:00:00,2010,4,12,0,0,Heavy Rain,2592
Kasba Ganpati,Pune,2010-09-08 13:00:00,2010,4,13,0,0,Humid,4741
Kasba Ganpati,Pune,2010-09-08 14:00:00,2010,4,14,0,0,Light Rain,3985
Kasba Ganpati,Pune,2010-09-08 15:00:00,2010,4,15,0,0,Heavy Rain,1849
Kasba Ganpati,Pune,2010-09-08 16:00:00,2010,4,16,0,0,Cloudy,4951
Kasba Ganpati,Pune,2010-09-08 17:00:00,2010,4,17,0,0,Sunny,6529
Kasba Ganpati,Pune,2010-09-08 18:00:00,2010,4,18,0,0,Light Rain,6803
Kasba Ganpati,Pune,2010-09-08 19:00:00,2010,4,19,0,0,Humid,19944
Kasba Ganpati,Pune,2010-09-08 20:00:00,2010,4,20,0,0,Sunny,19458
Kasba Ganpati,Pune,2010-09-08 21:00:00,2010,4,21,0,0,Humid,8702
Kasba Ganpati,Pune,2010-09-08 22:00:00,2010,4,22,0,0,Cloudy,19612
Kasba Ganpati,Pune,2010-09-08 23:00:00,2010,4,23,0,0,Cloudy,20235
Kasba Ganpati,Pune,2010-09-09 00:00:00,2010,5,0,0,1,Cloudy,5041
Kasba Ganpati,Pune,2010-09-09 01:00:00,2010,5,1,0,1,Sunny,1225
Kasba Ganpati,Pune,2010-09-09 02:00:00,2010,5,2,0,1,Humid,866
Kasba Ganpati,Pune,2010-09-09 03:00:00,2010,5,3,0,1,Cloudy,1651
Kasba Ganpati,Pune,2010-09-09 04:00:00,2010,5,4,0,1,Light Rain,1720
Kasba Ganpati,Pune,2010-09-09 05:00:00,2010,5,5,0,1,Cloudy,1559
