temple_name,city,year,month,day_of_month,time_slot,is_weekend_or_holiday,is_special_festival,weather,headcount
Kashi Vishwanath,Varanasi,2010,10,1,0,0,1,Cloudy,7129
Kashi Vishwanath,Varanasi,2010,10,1,1,0,1,Humid,12238
Kashi Vishwanath,Varanasi,2010,10,1,2,0,1,Clear,6974
Kashi Vishwanath,Varanasi,2010,10,1,3,0,1,Rain,13716
Kashi Vishwanath,Varanasi,2010,10,1,4,0,1,Cloudy,10597
Kashi Vishwanath,Varanasi,2010,10,1,5,0,1,Humid,27964
Kashi Vishwanath,Varanasi,2010,10,1,6,0,1,Rain,13555
Kashi Vishwanath,Varanasi,2010,10,1,7,0,1,Rain,15283
Kashi Vishwanath,Varanasi,2010,10,1,8,0,1,Cloudy,16772
Kashi Vishwanath,Varanasi,2010,10,1,9,0,1,Rain,19535
Kashi Vishwanath,Varanasi,2010,10,1,10,0,1,Foggy,6128
Kashi Vishwanath,Varanasi,2010,10,1,11,0,1,Humid,8370
Kashi Vishwanath,Varanasi,2010,10,1,12,0,1,Rain,11447
Kashi Vishwanath,Varanasi,2010,10,1,13,0,1,Clear,14098
Kashi Vishwanath,Varanasi,2010,10,1,14,0,1,Clear,6697
Kashi Vishwanath,Varanasi,2010,10,1,15,0,1,Humid,8125
Kashi Vishwanath,Varanasi,2010,10,1,16,0,1,Cloudy,13293
Kashi Vishwanath,Varanasi,2010,10,1,17,0,1,Humid,7579
Kashi Vishwanath,Varanasi,2010,10,1,18,0,1,Clear,37101
Kashi Vishwanath,Varanasi,2010,10,1,19,0,1,Foggy,36169
Kashi Vishwanath,Varanasi,2010,10,1,20,0,1,Humid,21713
Kashi Vishwanath,Varanasi,2010,10,1,21,0,1,Rain,30905
Kashi Vishwanath,Varanasi,2010,10,1,22,0,1,Clear,27225
Kashi Vishwanath,Varanasi,2010,10,1,23,0,1,Cloudy,7953
Kashi Vishwanath,Varanasi,2010,10,2,0,1,1,Cloudy,14201
Kashi Vishwanath,Varanasi,2010,10,2,1,1,1,Cloudy,11053
Kashi Vishwanath,Varanasi,2010,10,2,2,1,1,Clear,8823
Kashi Vishwanath,Varanasi,2010,10,2,3,1,1,Cloudy,10687
Kashi Vishwanath,Varanasi,2010,10,2,4,1,1,Rain,8659
Kashi Vishwanath,Varanasi,2010,10,2,5,1,1,Foggy,18665
Kashi Vishwanath,Varanasi,2010,10,2,6,1,1,Humid,24970
Kashi Vishwanath,Varanasi,2010,10,2,7,1,1,Clear,12765
Kashi Vishwanath,Varanasi,2010,10,2,8,1,1,Clear,12489
Kashi Vishwanath,Varanasi,2010,10,2,9,1,1,Cloudy,24636
Kashi Vishwanath,Varanasi,2010,10,2,10,1,1,Humid,6673
Kashi Vishwanath,Varanasi,2010,10,2,11,1,1,Cloudy,11989
Kashi Vishwanath,Varanasi,2010,10,2,12,1,1,Cloudy,10527
Kashi Vishwanath,Varanasi,2010,10,2,13,1,1,Cloudy,12223
Kashi Vishwanath,Varanasi,2010,10,2,14,1,1,Clear,11448
Kashi Vishwanath,Varanasi,2010,10,2,15,1,1,Humid,11466
Kashi Vishwanath,Varanasi,2010,10,2,16,1,1,Rain,6898
Kashi Vishwanath,Varanasi,2010,10,2,17,1,1,Clear,11632
Kashi Vishwanath,Varanasi,2010,10,2,18,1,1,Clear,35966
Kashi Vishwanath,Varanasi,2010,10,2,19,1,1,Foggy,27562
Kashi Vishwanath,Varanasi,2010,10,2,20,1,1,Humid,29197
Kashi Vishwanath,Varanasi,2010,10,2,21,1,1,Cloudy,48105
