mandal_name,city,year,day_of_festival,hour_of_day,holiday_flag,special_event_flag,weather,volunteers_on_duty,headcount
Koradi Devi Temple,Nagpur,2015,1,0,1,1,Pleasant,71,35620
Koradi Devi Temple,Nagpur,2015,1,1,1,1,Cloudy,49,8159
Koradi Devi Temple,Nagpur,2015,1,2,1,1,Sunny,39,4033
Koradi Devi Temple,Nagpur,2015,1,3,1,1,Sunny,70,10057
Koradi Devi Temple,Nagpur,2015,1,4,1,1,Sunny,53,11141
Koradi Devi Temple,Nagpur,2015,1,5,1,1,Light Rain,75,5047
Koradi Devi Temple,Nagpur,2015,1,6,1,1,Light Rain,72,9655
Koradi Devi Temple,Nagpur,2015,1,7,1,1,Sunny,56,30537
Koradi Devi Temple,Nagpur,2015,1,8,1,1,Sunny,51,30090
Koradi Devi Temple,Nagpur,2015,1,9,1,1,Pleasant,39,9565
Koradi Devi Temple,Nagpur,2015,1,10,1,1,Cloudy,33,18042
Koradi Devi Temple,Nagpur,2015,1,11,1,1,Pleasant,42,11456
Koradi Devi Temple,Nagpur,2015,1,12,1,1,Sunny,69,21207
Koradi Devi Temple,Nagpur,2015,1,13,1,1,Pleasant,65,20779
Koradi Devi Temple,Nagpur,2015,1,14,1,1,Cloudy,34,25259
Koradi Devi Temple,Nagpur,2015,1,15,1,1,Cloudy,32,27730
Koradi Devi Temple,Nagpur,2015,1,16,1,1,Pleasant,44,15758
Koradi Devi Temple,Nagpur,2015,1,17,1,1,Sunny,33,17976
Koradi Devi Temple,Nagpur,2015,1,18,1,1,Light Rain,54,27392
Koradi Devi Temple,Nagpur,2015,1,19,1,1,Sunny,74,73786
Koradi Devi Temple,Nagpur,2015,1,20,1,1,Pleasant,71,40530
Koradi Devi Temple,Nagpur,2015,1,21,1,1,Cloudy,30,39050
Koradi Devi Temple,Nagpur,2015,1,22,1,1,Pleasant,59,45088
Koradi Devi Temple,Nagpur,2015,1,23,1,1,Cloudy,49,32092
Koradi Devi Temple,Nagpur,2015,2,0,1,0,Cloudy,63,11812
Koradi Devi Temple,Nagpur,2015,2,1,1,0,Light Rain,40,1970
Koradi Devi Temple,Nagpur,2015,2,2,1,0,Heavy Rain,68,563
Koradi Devi Temple,Nagpur,2015,2,3,1,0,Cloudy,45,4933
Koradi Devi Temple,Nagpur,2015,2,4,1,0,Heavy Rain,59,1185
Koradi Devi Temple,Nagpur,2015,2,5,1,0,Heavy Rain,49,1277
Koradi Devi Temple,Nagpur,2015,2,6,1,0,Sunny,72,11866
Koradi Devi Temple,Nagpur,2015,2,7,1,0,Sunny,64,12628
Koradi Devi Temple,Nagpur,2015,2,8,1,0,Sunny,47,7487
Koradi Devi Temple,Nagpur,2015,2,9,1,0,Cloudy,46,12096
Koradi Devi Temple,Nagpur,2015,2,10,1,0,Pleasant,63,8820
Koradi Devi Temple,Nagpur,2015,2,11,1,0,Cloudy,63,9502
Koradi Devi Temple,Nagpur,2015,2,12,1,0,Cloudy,70,6784
Koradi Devi Temple,Nagpur,2015,2,13,1,0,Heavy Rain,35,4119
Koradi Devi Temple,Nagpur,2015,2,14,1,0,Sunny,31,14307
