mandal_name,city,datetime,year,day_of_festival,hour_of_day,is_weekend,is_special_day,weather,headcount
Lalbaugcha Raja,Mumbai,2010-09-05 00:00:00,2010,1,0,1,1,Heavy Rain,27504
Lalbaugcha Raja,Mumbai,2010-09-05 01:00:00,2010,1,1,1,1,Humid,40559
Lalbaugcha Raja,Mumbai,2010-09-05 02:00:00,2010,1,2,1,1,Cloudy,21645
Lalbaugcha Raja,Mumbai,2010-09-05 03:00:00,2010,1,3,1,1,Light Rain,9914
Lalbaugcha Raja,Mumbai,2010-09-05 04:00:00,2010,1,4,1,1,Heavy Rain,14952
Lalbaugcha Raja,Mumbai,2010-09-05 05:00:00,2010,1,5,1,1,Light Rain,21787
Lalbaugcha Raja,Mumbai,2010-09-05 06:00:00,2010,1,6,1,1,Cloudy,109742
Lalbaugcha Raja,Mumbai,2010-09-05 07:00:00,2010,1,7,1,1,Humid,103437
Lalbaugcha Raja,Mumbai,2010-09-05 08:00:00,2010,1,8,1,1,Heavy Rain,28878
Lalbaugcha Raja,Mumbai,2010-09-05 09:00:00,2010,1,9,1,1,Humid,86923
Lalbaugcha Raja,Mumbai,2010-09-05 10:00:00,2010,1,10,1,1,Heavy Rain,32035
Lalbaugcha Raja,Mumbai,2010-09-05 11:00:00,2010,1,11,1,1,Heavy Rain,32861
Lalbaugcha Raja,Mumbai,2010-09-05 12:00:00,2010,1,12,1,1,Heavy Rain,25416
Lalbaugcha Raja,Mumbai,2010-09-05 13:00:00,2010,1,13,1,1,Humid,86324
Lalbaugcha Raja,Mumbai,2010-09-05 14:00:00,2010,1,14,1,1,Cloudy,76141
Lalbaugcha Raja,Mumbai,2010-09-05 15:00:00,2010,1,15,1,1,Cloudy,78782
Lalbaugcha Raja,Mumbai,2010-09-05 16:00:00,2010,1,16,1,1,Light Rain,42203
Lalbaugcha Raja,Mumbai,2010-09-05 17:00:00,2010,1,17,1,1,Heavy Rain,25105
Lalbaugcha Raja,Mumbai,2010-09-05 18:00:00,2010,1,18,1,1,Sunny,392652
Lalbaugcha Raja,Mumbai,2010-09-05 19:00:00,2010,1,19,1,1,Humid,335348
Lalbaugcha Raja,Mumbai,2010-09-05 20:00:00,2010,1,20,1,1,Humid,202022
Lalbaugcha Raja,Mumbai,2010-09-05 21:00:00,2010,1,21,1,1,Light Rain,104846
Lalbaugcha Raja,Mumbai,2010-09-05 22:00:00,2010,1,22,1,1,Heavy Rain,49332
Lalbaugcha Raja,Mumbai,2010-09-05 23:00:00,2010,1,23,1,1,Sunny,204977
Lalbaugcha Raja,Mumbai,2010-09-06 00:00:00,2010,2,0,0,0,Sunny,15648
Lalbaugcha Raja,Mumbai,2010-09-06 01:00:00,2010,2,1,0,0,Heavy Rain,1243
Lalbaugcha Raja,Mumbai,2010-09-06 02:00:00,2010,2,2,0,0,Cloudy,2153
Lalbaugcha Raja,Mumbai,2010-09-06 03:00:00,2010,2,3,0,0,Cloudy,7927
Lalbaugcha Raja,Mumbai,2010-09-06 04:00:00,2010,2,4,0,0,Heavy Rain,2626
Lalbaugcha Raja,Mumbai,2010-09-06 05:00:00,2010,2,5,0,0,Cloudy,5577
Lalbaugcha Raja,Mumbai,2010-09-06 06:00:00,2010,2,6,0,0,Humid,19999
Lalbaugcha Raja,Mumbai,2010-09-06 07:00:00,2010,2,7,0,0,Humid,10696
Lalbaugcha Raja,Mumbai,2010-09-06 08:00:00,2010,2,8,0,0,Heavy Rain,4276
Lalbaugcha Raja,Mumbai,2010-09-06 09:00:00,2010,2,9,0,0,Cloudy,18437
Lalbaugcha Raja,Mumbai,2010-09-06 10:00:00,2010,2,10,0,0,Cloudy,11079
Lalbaugcha Raja,Mumbai,2010-09-06 11:00:00,2010,2,11,0,0,Sunny,23425
Lalbaugcha Raja,Mumbai,2010-09-06 12:00:00,2010,2,12,0,0,Sunny,18879
Lalbaugcha Raja,Mumbai,2010-09-06 13:00:00,2010,2,13,0,0,Cloudy,11473
Lalbaugcha Raja,Mumbai,2010-09-06 14:00:00,2010,2,14,0,0,Heavy Rain,6656
Lalbaugcha Raja,Mumbai,2010-09-06 15:00:00,2010,2,15,0,0,Cloudy,18527
Lalbaugcha Raja,Mumbai,2010-09-06 16:00:00,2010,2,16,0,0,Cloudy,14226
Lalbaugcha Raja,Mumbai,2010-09-06 17:00:00,2010,2,17,0,0,Cloudy,19685
Lalbaugcha Raja,Mumbai,2010-09-06 18:00:00,2010,2,18,0,0,Sunny,72674
Lalbaugcha Raja,Mumbai,2010-09-06 19:00:00,2010,2,19,0,0,Sunny,61218
Lalbaugcha Raja,Mumbai,2010-09-06 20:00:00,2010,2,20,0,0,Humid,69619
Lalbaugcha Raja,Mumbai,2010-09-06 21:00:00,2010,2,21,0,0,Sunny,45982
Lalbaugcha Raja,Mumbai,2010-09-06 22:00:00,2010,2,22,0,0,Heavy Rain,14270
Lalbaugcha Raja,Mumbai,2010-09-06 23:00:00,2010,2,23,0,0,Light Rain,22339
Lalbaugcha Raja,Mumbai,2010-09-07 00:00:00,2010,3,0,0,0,Humid,21321
Lalbaugcha Raja,Mumbai,2010-09-07 01:00:00,2010,3,1,0,0,Sunny,5570
Lalbaugcha Raja,Mumbai,2010-09-07 02:00:00,2010,3,2,0,0,Heavy Rain,1626
Lalbaugcha Raja,Mumbai,2010-09-07 03:00:00,2010,3,3,0,0,Light Rain,1209
Lalbaugcha Raja,Mumbai,2010-09-07 04:00:00,2010,3,4,0,0,Humid,7538
Lalbaugcha Raja,Mumbai,2010-09-07 05:00:00,2010,3,5,0,0,Cloudy,7538
Lalbaugcha Raja,Mumbai,2010-09-07 06:00:00,2010,3,6,0,0,Humid,10684
Lalbaugcha Raja,Mumbai,2010-09-07 07:00:00,2010,3,7,0,0,Light Rain,14693
Lalbaugcha Raja,Mumbai,2010-09-07 08:00:00,2010,3,8,0,0,Cloudy,11449
Lalbaugcha Raja,Mumbai,2010-09-07 09:00:00,2010,3,9,0,0,Cloudy,22089
Lalbaugcha Raja,Mumbai,2010-09-07 10:00:00,2010,3,10,0,0,Light Rain,13640
Lalbaugcha Raja,Mumbai,2010-09-07 11:00:00,2010,3,11,0,0,Heavy Rain,7985
Lalbaugcha Raja,Mumbai,2010-09-07 12:00:00,2010,3,12,0,0,Cloudy,19201
Lalbaugcha Raja,Mumbai,2010-09-07 13:00:00,2010,3,13,0,0,Sunny,20501
Lalbaugcha Raja,Mumbai,2010-09-07 14:00:00,2010,3,14,0,0,Cloudy,10770
Lalbaugcha Raja,Mumbai,2010-09-07 15:00:00,2010,3,15,0,0,Heavy Rain,8225
Lalbaugcha Raja,Mumbai,2010-09-07 16:00:00,2010,3,16,0,0,Heavy Rain,4310
Lalbaugcha Raja,Mumbai,2010-09-07 17:00:00,2010,3,17,0,0,Sunny,12565
Lalbaugcha Raja,Mumbai,2010-09-07 18:00:00,2010,3,18,0,0,Light Rain,33828
Lalbaugcha Raja,Mumbai,2010-09-07 19:00:00,2010,3,19,0,0,Cloudy,60490
Lalbaugcha Raja,Mumbai,2010-09-07 20:00:00,2010,3,20,0,0,Sunny,70747
Lalbaugcha Raja,Mumbai,2010-09-07 21:00:00,2010,3,21,0,0,Heavy Rain,26047
Lalbaugcha Raja,Mumbai,2010-09-07 22:00:00,2010,3,22,0,0,Humid,79903
Lalbaugcha Raja,Mumbai,2010-09-07 23:00:00,2010,3,23,0,0,Sunny,45809
Lalbaugcha Raja,Mumbai,2010-09-08 00:00:00,2010,4,0,0,0,Cloudy,18217
Lalbaugcha Raja,Mumbai,2010-09-08 01:00:00,2010,4,1,0,0,Cloudy,5392
Lalbaugcha Raja,Mumbai,2010-09-08 02:00:00,2010,4,2,0,0,Heavy Rain,1072
Lalbaugcha Raja,Mumbai,2010-09-08 03:00:00,2010,4,3,0,0,Heavy Rain,909
Lalbaugcha Raja,Mumbai,2010-09-08 04:00:00,2010,4,4,0,0,Humid,3982
Lalbaugcha Raja,Mumbai,2010-09-08 05:00:00,2010,4,5,0,0,Heavy Rain,982
Lalbaugcha Raja,Mumbai,2010-09-08 06:00:00,2010,4,6,0,0,Humid,21835
Lalbaugcha Raja,Mumbai,2010-09-08 07:00:00,2010,4,7,0,0,Light Rain,9905
