mandal_name,city,year,day_of_festival,hour_of_day,is_weekend,is_special_day,weather,headcount
Siddhivinayak Temple,Mumbai,2010,1,0,1,1,Sunny,36434
Siddhivinayak Temple,Mumbai,2010,1,1,1,1,Humid,9754
Siddhivinayak Temple,Mumbai,2010,1,2,1,1,Cloudy,14661
Siddhivinayak Temple,Mumbai,2010,1,3,1,1,Humid,6953
Siddhivinayak Temple,Mumbai,2010,1,4,1,1,Heavy Rain,6630
Siddhivinayak Temple,Mumbai,2010,1,5,1,1,Humid,15789
Siddhivinayak Temple,Mumbai,2010,1,6,1,1,Heavy Rain,19552
Siddhivinayak Temple,Mumbai,2010,1,7,1,1,Sunny,46615
Siddhivinayak Temple,Mumbai,2010,1,8,1,1,Heavy Rain,18301
Siddhivinayak Temple,Mumbai,2010,1,9,1,1,Sunny,27175
Siddhivinayak Temple,Mumbai,2010,1,10,1,1,Light Rain,30901
Siddhivinayak Temple,Mumbai,2010,1,11,1,1,Light Rain,30697
Siddhivinayak Temple,Mumbai,2010,1,12,1,1,Cloudy,59161
Siddhivinayak Temple,Mumbai,2010,1,13,1,1,Cloudy,37580
Siddhivinayak Temple,Mumbai,2010,1,14,1,1,Heavy Rain,23888
Siddhivinayak Temple,Mumbai,2010,1,15,1,1,Humid,48610
Siddhivinayak Temple,Mumbai,2010,1,16,1,1,Sunny,48044
Siddhivinayak Temple,Mumbai,2010,1,17,1,1,Sunny,46152
Siddhivinayak Temple,Mumbai,2010,1,18,1,1,Light Rain,62221
Siddhivinayak Temple,Mumbai,2010,1,19,1,1,Cloudy,208568
Siddhivinayak Temple,Mumbai,2010,1,20,1,1,Light Rain,95031
Siddhivinayak Temple,Mumbai,2010,1,21,1,1,Humid,147905
Siddhivinayak Temple,Mumbai,2010,1,22,1,1,Humid,84459
Siddhivinayak Temple,Mumbai,2010,1,23,1,1,Light Rain,74435
Siddhivinayak Temple,Mumbai,2010,2,0,0,0,Humid,11419
Siddhivinayak Temple,Mumbai,2010,2,1,0,0,Heavy Rain,1876
Siddhivinayak Temple,Mumbai,2010,2,2,0,0,Sunny,1210
Siddhivinayak Temple,Mumbai,2010,2,3,0,0,Humid,3088
Siddhivinayak Temple,Mumbai,2010,2,4,0,0,Cloudy,1912
Siddhivinayak Temple,Mumbai,2010,2,5,0,0,Sunny,3218
Siddhivinayak Temple,Mumbai,2010,2,6,0,0,Heavy Rain,2996
Siddhivinayak Temple,Mumbai,2010,2,7,0,0,Heavy Rain,3653
Siddhivinayak Temple,Mumbai,2010,2,8,0,0,Humid,12189
Siddhivinayak Temple,Mumbai,2010,2,9,0,0,Light Rain,8754
Siddhivinayak Temple,Mumbai,2010,2,10,0,0,Light Rain,10339
Siddhivinayak Temple,Mumbai,2010,2,11,0,0,Sunny,14434
Siddhivinayak Temple,Mumbai,2010,2,12,0,0,Light Rain,10061
Siddhivinayak Temple,Mumbai,2010,2,13,0,0,Sunny,11530
Siddhivinayak Temple,Mumbai,2010,2,14,0,0,Humid,14980
Siddhivinayak Temple,Mumbai,2010,2,15,0,0,Humid,13323
Siddhivinayak Temple,Mumbai,2010,2,16,0,0,Light Rain,6200
Siddhivinayak Temple,Mumbai,2010,2,17,0,0,Sunny,9466
Siddhivinayak Temple,Mumbai,2010,2,18,0,0,Light Rain,22492
Siddhivinayak Temple,Mumbai,2010,2,19,0,0,Heavy Rain,17066
Siddhivinayak Temple,Mumbai,2010,2,20,0,0,Sunny,24718
Siddhivinayak Temple,Mumbai,2010,2,21,0,0,Cloudy,32388
Siddhivinayak Temple,Mumbai,2010,2,22,0,0,Humid,19199
Siddhivinayak Temple,Mumbai,2010,2,23,0,0,Sunny,43423
Siddhivinayak Temple,Mumbai,2010,3,0,0,0,Cloudy,9719
Siddhivinayak Temple,Mumbai,2010,3,1,0,0,Heavy Rain,729
Siddhivinayak Temple,Mumbai,2010,3,2,0,0,Cloudy,3354
Siddhivinayak Temple,Mumbai,2010,3,3,0,0,Sunny,2636
Siddhivinayak Temple,Mumbai,2010,3,4,0,0,Light Rain,1234
Siddhivinayak Temple,Mumbai,2010,3,5,0,0,Sunny,3777
Siddhivinayak Temple,Mumbai,2010,3,6,0,0,Sunny,12438
Siddhivinayak Temple,Mumbai,2010,3,7,0,0,Heavy Rain,4287
Siddhivinayak Temple,Mumbai,2010,3,8,0,0,Cloudy,9368
Siddhivinayak Temple,Mumbai,2010,3,9,0,0,Light Rain,9896
Siddhivinayak Temple,Mumbai,2010,3,10,0,0,Heavy Rain,4171
Siddhivinayak Temple,Mumbai,2010,3,11,0,0,Sunny,7128
Siddhivinayak Temple,Mumbai,2010,3,12,0,0,Cloudy,13202
Siddhivinayak Temple,Mumbai,2010,3,13,0,0,Heavy Rain,3882
Siddhivinayak Temple,Mumbai,2010,3,14,0,0,Heavy Rain,4138
Siddhivinayak Temple,Mumbai,2010,3,15,0,0,Cloudy,12566
Siddhivinayak Temple,Mumbai,2010,3,16,0,0,Sunny,13200
Siddhivinayak Temple,Mumbai,2010,3,17,0,0,Sunny,10657
Siddhivinayak Temple,Mumbai,2010,3,18,0,0,Cloudy,36116
