temple_name,city,year,month,day_of_month,time_slot,is_holiday,is_festival,weather,headcount
Somnath,Gujarat,2010,10,1,0,0,1,Sunny,10498
Somnath,Gujarat,2010,10,1,1,0,1,Heavy Rain,23985
Somnath,Gujarat,2010,10,1,2,0,1,Humid,17643
Somnath,Gujarat,2010,10,1,3,0,1,Light Rain,24383
Somnath,Gujarat,2010,10,1,4,0,1,Cloudy,21803
Somnath,Gujarat,2010,10,1,5,0,1,Sunny,24589
Somnath,Gujarat,2010,10,1,6,0,1,Humid,27337
Somnath,Gujarat,2010,10,1,7,0,1,Humid,14932
Somnath,Gujarat,2010,10,1,8,0,1,Humid,10496
Somnath,Gujarat,2010,10,1,9,0,1,Heavy Rain,24896
Somnath,Gujarat,2010,10,1,10,0,1,Heavy Rain,26479
Somnath,Gujarat,2010,10,1,11,0,1,Light Rain,45777
Somnath,Gujarat,2010,10,1,12,0,1,Heavy Rain,36591
Somnath,Gujarat,2010,10,1,13,0,1,Sunny,17405
Somnath,Gujarat,2010,10,1,14,0,1,Heavy Rain,17354
Somnath,Gujarat,2010,10,1,15,0,1,Cloudy,36609
Somnath,Gujarat,2010,10,1,16,0,1,Light Rain,33677
Somnath,Gujarat,2010,10,1,17,0,1,Sunny,14466
Somnath,Gujarat,2010,10,1,18,0,1,Sunny,79137
Somnath,Gujarat,2010,10,1,19,0,1,Heavy Rain,44624
Somnath,Gujarat,2010,10,1,20,0,1,Heavy Rain,69220
Somnath,Gujarat,2010,10,1,21,0,1,Sunny,26644
Somnath,Gujarat,2010,10,1,22,0,1,Light Rain,47657
Somnath,Gujarat,2010,10,1,23,0,1,Humid,42956
Somnath,Gujarat,2010,10,2,0,1,1,Light Rain,8095
Somnath,Gujarat,2010,10,2,1,1,1,Cloudy,11321
Somnath,Gujarat,2010,10,2,2,1,1,Sunny,4028
Somnath,Gujarat,2010,10,2,3,1,1,Light Rain,11885
Somnath,Gujarat,2010,10,2,4,1,1,Cloudy,7291
Somnath,Gujarat,2010,10,2,5,1,1,Sunny,5547
Somnath,Gujarat,2010,10,2,6,1,1,Heavy Rain,8026
